Var1	Var2
30	21
-15	-2.89631642868783
-13.2069558024306	0
-12.4843670810751	5
-10	6.49832049554609
-5	5.47031873595384
-2.0806557098266	5
0	4.57873705771893
0.989487364435046	5
5	6.19052745259764
7.61154350267096	10
10	12.5064305354232
15	13.2453491049387
18.8018517970767	15
20	16.0798057115236
25	19.6900833392301
26.1464521353699	20
30	20.9159903806524
35	22.7427378588793
38.1333949884636	25
40	26.2014673760071
45	26.6351392392689
30	24
45	12.982492897112
40.4097706265508	15
40	16.4393192660861
39.4499979372543	15
35	12.481034371997
32.2568563695067	10
30	8.41855006411772
25	7.51496965822401
20	5.03351366551008
19.89498113748	5
16.2320365771419	0
15	-3.27534639619011
12.1107811607678	-5
13.9402866161398	-10
10.9551536780559	-15
10	-15.184310570425
7.97374343914877	-15
5	-10.5573436101264
0	-10.1056326599819
-0.615779903084126	-10
-5	-7.96614921880902
-10	-9.57147317246644
-12.333356962125	-10
-15	-10.4054343533622
30	5
1.07187381284626	15
0	13.2013764214705
-1.42499028638544	15
0	15.4774644043316
1.07187381284626	15
40	18
-15	8.98215093395856
-13.4567213457296	10
-10	10.8041274474316
-5.72059927124644	15
-5	16.0136170106889
0	17.4067747709145
3.34618636064013	20
5	21.8859967540101
7.64222731760785	20
10	17.3799782752834
12.5132963542467	20
15	22.0243941260551
20	22.7475123652838
25	23.9512623861242
26.7257354069766	25
30	28.2408148027763
35	29.767959189857
35.5808708923564	30
40	18
45	9.44337407197425
40	7.76593951426797
35.9231042222332	5
35	4.62757778446711
30	3.51330256423237
25.9563615125114	0
25	-0.649733302233786
20	-3.24762833652084
18.7080412609732	-5
16.8532286882473	-10
15	-12.8722757359396
13.4201717571406	-15
10	-15.6599710831802
5	-15.6167563278272
0.357788395861842	-15
0	-14.8425283721411
-0.318894252601226	-15
-4.65747716032181	-20
50	16
45	7.62189799288179
40.2427856471104	5
40	4.86836622456762
35	2.85236178104322
30.1251973581022	0
30	-0.0964388672258707
25	-3.51514607882316
22.8294223298639	-5
20	-7.95092247502432
18.9952730784729	-10
15.5814902266395	-15
15	-15.5505220862726
10	-16.1356315959355
5	-17.0466588707002
0	-18.4276674605172
-1.43088980324222	-20
50	13
-15	11.7498658529255
-10	12.6677193341628
-7.62129009973577	15
-5	18.6871869582198
0	19.3360851374973
0.856687198865581	20
5	24.7250030522257
10	24.1126314659118
11.9460415035766	25
15	25.2345351367046
20	26.2864590995571
25	29.1249942788328
25.8825099545064	30
60	15
45	5.80042191378933
43.5477014639838	5
40	3.076503519177
35	1.07714577761934
33.1591139253986	0
30	-2.4334488604326
26.5246665217473	-5
25	-6.00889141081469
21.0893851205019	-10
20	-11.1748691615139
17.2007857300647	-15
15	-17.0835795616996
10	-16.6112921086907
5	-18.4765614135733
1.71562920874219	-20
60	12
-15	13.9172671902031
-10	14.5313112208941
-9.52198092822511	15
-8.58437760633539	20
-5	20.7413184383921
0	21.6635272906081
2.96463405001186	25
5	26.0532919457944
10	27.3935277306412
15	26.9355267798855
20	28.8082780624445
21.7970783929331	30
70	14
45	3.33607824735003
40	1.28464081378638
36.7710537474237	0
35	-0.946414176781201
30	-4.77045885363933
29.6891813226374	-5
25	-8.10289147999383
23.1411528550083	-10
20	-13.3876390924547
18.8200812334898	-15
15	-18.6166370371267
10	-17.0869526214459
5	-19.9064639564463
4.79834628575469	-20
70	8
-15	18.4792074530871
-13.9253138469494	20
-10	21.5334747670354
-5	22.1978362705337
0	24.1998571862931
0.710969588844695	25
5	27.2195523057479
9.98596571728309	30
70	3
1.17686219143221	30
0	26.5031780253116
-1.11983223095807	30
70	3
10.0415109253171	30
15	28.6365184230664
18.0156913869852	30
80	3
14.9065041684533	-20
10	-17.5626131342012
5.77126292942197	-20
80	10
