Var1	Var2
50	17
-15	-4.39848760421098
-10.6297844739627	0
-5	2.62438114026822
3.36963492979588	10
5	11.6112307225571
13.0168922694178	20
15	21.3104864824506
19.28297264107	20
25	14.7325663766035
29.4576918862302	10
25	8.52639920228605
16.37774853094	0
15	-4.12094301247109
8.32410786087156	-10
5	-13.122876060372
-5	-11.0385935476288
-15	-11.0933585346386
50	5
45	17.7167553317458
35	15.2935531602128
30.0171303602886	20
35	24.1956327952737
45	22.3298978975659
50	3
27.1578374164008	30
25	27.2565611469303
24.2927533656229	30
100	3
4.43649913520863	-20
-5	-13.1649720302211
-15	-12.7672510605987
100	7
-15	0.79076068272915
-5	6.59634139937362
-1.13762852247781	10
5	16.0655958716172
8.75999064921382	20
15	24.1235520281948
21.2844003358316	30
100	8
45	13.8259301203175
37.3695911943738	10
35	8.746815606649
25	5.8888258810293
19.0449729834219	0
15.7076763491454	-10
15	-11.0999627012467
5.82715844954114	-20
100	2
36.3513619814545	30
45	26.3002238139884
150	3
1.50080248541763	-20
-5	-15.2913505128133
-15	-14.4411435865588
150	7
-15	2.41416748152396
-5.29709803721074	10
-5	11.1970316315416
4.00138773071726	20
5	20.2027832888402
15	26.9366175739389
18.2760473060404	30
150	7
45	9.96457894221503
35	4.64294135880649
25	3.25125255977255
21.7121974359038	0
18.3976619700946	-10
15	-15.2810885132191
10.1364442747959	-20
200	3
-1.43489416437337	-20
-5	-17.4177289954055
-15	-16.115036112519
200	7
-15	4.03757428031876
-7.37356848077334	10
-5	19.5632962701146
-4.55345294545939	20
5	21.9399727678608
15	29.7496831196831
15.2676942762491	30
200	7
45	7.8408875768682
35	0.53906711096397
25	0.6136792385158
24.3794218883857	0
21.0876475910438	-10
15	-19.4622143251914
14.4457301000506	-20
250	3
-4.37059081416437	-20
-5	-19.5441074779977
-15	-17.7889286384791
250	6
-15	5.66098107911357
-9.45003892433595	10
-11.9040277168083	20
-5	21.6346930086347
5	23.6771622468815
12.9980787368218	30
250	6
45	5.71719621152137
37.4394999719834	0
35	-1.90356714783303
25	-6.28061833237411
23.777633211993	-10
17.4847535583849	-20
300	2
-12.0997657265822	-20
-15	-19.4628211644392
300	3
-15	7.28438787790838
-11.5265093678985	10
-15	17.4420022749991
300	6
45	3.59350484617454
40.247899060132	0
35	-4.09499010483244
26.6838106883571	-10
25	-12.5014189388303
20.3362762952768	-20
300	4
-15	21.0057525221287
-5	23.3594132637096
5	25.4143517259021
10.8006194983441	30
350	3
-15	8.90779467670318
-13.6029798114611	10
-15	12.9931352988955
350	6
45	1.46981348082771
43.0562981482806	0
35	-6.28641306183185
29.770052455234	-10
25	-17.0862476602867
23.1877990321686	-20
350	4
-15	22.7549562599191
-5	25.0841335187845
5	27.1515412049227
8.60316025986651	30
400	6
45	-10.9581648253437
42.6689520365141	-10
35	-8.47783601883127
32.8562942221109	-10
35	-17.2644375587412
36.1604897067959	-20
400	4
-15	24.5041599977096
-5	26.8088537738594
5	28.8887306839434
6.40570102138889	30
450	2
45	-15.4964293002766
40.5972035778798	-20
450	3
-15	26.2533637355
-5	28.5335740289342
2.02360603699556	30
500	2
-15	28.0025674732905
-6.15943034091762	30
550	2
-15	29.7517712110809
-13.9013476698289	30
