Var1	Var2
20	51
45	13.8772333161317
40	11.4958868914381
37.605462041003	10
35	9.48753924200452
30	5.37580399166467
29.2793048120024	5
25	3.04969648857628
21.3670724730342	0
20	-0.500730557321194
16.016080846916	-5
15.2399742978623	-10
15	-10.3375276845633
10.842095317089	-15
10	-15.7258492820435
5	-16.4309819373153
1.46457122299656	-15
0	-12.1643145317761
-5	-12.4204122261825
-10	-11.9344678451866
-14.5893118555391	-10
-12.8775890843948	-5
-12.926098057611	0
-10	3.64051221996274
-7.28491325885403	5
-5	6.36288348647766
0	8.54859535210666
5	9.58821248813023
5.54256547103885	10
5	11.6771786714581
0	12.5082318490799
-1.99799488799171	15
-0.657659575525184	20
0	22.5774614853421
3.68772849218403	25
5	25.983697145776
9.54232160501508	25
10	21.9495743840942
10.2889643982423	20
10	19.6101903773274
7.69448743115885	15
10	14.1447639951589
15	14.8858199228065
15.2064593837924	15
20	18.3139222525343
24.2421757990979	20
25	20.1844548512302
30	21.5755218506063
35	23.6007049450115
37.0634000312822	25
40	27.6641533819955
45	27.3053455353759
40	3
2.4456751030526	-20
0	-18.6809089219485
-1.62566102965615	-20
40	14
45	8.91485999031243
40	7.36972687217266
36.0812192957268	5
35	4.64287908281588
30	2.577540618171
27.1210309420913	0
25	-1.6394918570947
20.5711165962806	-5
20	-5.55002290752785
17.0473092683381	-10
15	-12.8795732004761
13.1090434595567	-15
10	-17.679859295219
6.09462095078971	-20
40	7
-15	11.7554582750451
-10	13.3102051940321
-8.62146858123516	15
-5	18.4043309133228
-3.83056199724967	20
-2.20872433604087	25
-0.886278676404678	30
40	6
6.83002226392619	30
10	27.2215768751351
15	25.5361304998739
20	26.5371970306216
25	29.5328598171921
25.4776049964885	30
60	14
45	6.88769334548105
40.7795947832925	5
40	3.96389743959621
35	3.07963062878474
30	0.091893714619111
29.8973598479343	0
25	-3.78550893936237
23.3993970335173	-5
20	-8.27384329643614
18.8546442388139	-10
15.6697682087718	-15
15	-17.159021665151
10	-19.6338693083944
9.38371016493836	-20
60	6
-15	16.3339683807063
-10	17.8224407182118
-7.69378301836922	20
-5	24.8647702020858
-4.95185169988114	25
-2.63027484719618	30
60	3
9.38250839628027	30
10	29.4587807568296
12.8727484435692	30
80	13
45	3.06369150917853
43.7925386039798	0
40	-1.67356266505092
38.6968819033638	0
35	1.5163821747536
32.4909602969107	0
30	-3.12212619103919
27.1418553410998	-5
25	-7.78691667431432
22.5758759364924	-10
20	-14.1755756580051
19.707969563759	-15
17.366613837386	-20
80	6
-15	18.0999015122818
-11.4960907777519	20
-12.5790844422649	25
-10	26.8715960104558
-5	28.662465793396
-4.37427101798768	30
80	5
30.2535269705244	-10
30	-10.8252524192756
28.5890975311438	-10
30	-9.05208394523791
30.2535269705244	-10
100	4
33.5645468125915	-20
30	-15.6058518931025
25	-18.0450085922572
21.8407593988898	-20
100	10
45	-3.89983780404799
42.8016288414377	-5
40	-5.70124903951248
38.4403126484845	-5
35	-0.203485126559954
31.8659996368894	-5
32.1245400999218	-10
35	-13.7274500987992
36.7507700757452	-15
35.9502787525824	-20
100	3
-15	19.8658346438573
-14.7525900727076	20
-15	21.0312832307367
100	3
-15	28.3276596203602
-10	29.3542844176687
-8.55715002231149	30
120	3
32.0019784471402	-20
30	-17.5320874528914
26.8870641729803	-20
120	3
44.9588087713976	-20
40	-15.0446350449051
36.9847085272144	-20
120	7
33.9955532293191	-10
35	-11.3020613553022
40	-14.8674244230838
42.6220001728349	-10
40	-7.89005391878132
35	-6.76661595089723
33.9955532293191	-10
140	3
30.4394100816888	-20
30	-19.4583230126803
29.3167481957676	-20
140	3
43.2576334501603	-20
40	-16.7446289260879
38.0191383018464	-20
160	3
41.5564581289231	-20
40	-18.4446228072707
39.0535680764784	-20
