Var1	Var2
50	5
1.85333688175427	-20
0.474295511061838	-10
-5	-4.81314714494587
-10.1293165312725	-10
-15	-14.6379539415821
50	6
-15	1.56108564543636
-5	4.34773820772599
1.45647439498776	10
5	14.7322354134063
9.16218526410211	20
13.8611186319357	30
50	7
45	8.51333087611952
35	7.413831344975
26.4556979729154	0
25	-2.52153499147641
18.9873491829102	-10
15	-12.5920039936343
6.55729151725016	-20
100	3
45	-11.3515394659154
43.7792114223663	-10
45	-8.82283901266741
100	6
-15	4.18033569576035
-6.11130604215113	10
-5	11.2569950505872
2.75678020685915	20
5	23.9608294825775
9.07642509622097	30
100	7
45	4.25477591577713
35	3.91157410269515
30.491983971634	0
25	-9.51312017654873
24.6085509038336	-10
15	-16.246105162427
10.7217795796199	-20
150	4
30.7592542003913	-20
25	-19.5146578186148
15	-19.9002063312198
14.8862676419896	-20
150	5
-15	6.79958574608434
-10.1118309658051	10
-5	15.7819772229599
-1.25777684236319	20
4.57077063246807	30
150	5
34.5282699703525	0
35	-7.38627052809959
44.924643093394	0
35	0.409316860415313
34.5282699703525	0
200	5
-15	9.41883579640832
-14.1123558894591	10
-5.17490815310374	20
-5	20.2864116376657
1.67112006828817	30
250	4
-15	12.1682486150228
-7.75328264377386	20
-5	24.5084930402991
-1.22853049589174	30
300	4
-15	14.9547776040341
-10.331657134444	20
-5	28.7305744429325
-4.12818106007164	30
350	3
-15	17.7413065930454
-12.9100316251141	20
-15	26.8973065717954
