Var1	Var2
11	3
2.78832662774647	-20
5	-17.0969553506071
8.11984231891379	-20
11	3
33.1110733268151	-20
35	-17.4930902059857
37.5955124307531	-20
11	3
-15	1.52640272336384
-10.8463413721373	0
-15	-1.19090028204525
11	7
25.8055436192695	-10
25	-10.5747948178204
15	-12.8178752124444
12.385911444435	-10
15	-5.37017482616342
25	-8.98915657742775
25.8055436192695	-10
11	9
5.57168866777653	10
5	9.6311648607292
-5	4.55182669381616
-7.32818710925068	10
-5	12.3088365730966
4.1223333861702	20
5	20.5801380482111
13.8505063600898	20
5.57168866777653	10
11	5
37.7681697980313	20
35	18.8183454012713
31.8355524619877	20
35	21.9700022007042
37.7681697980313	20
12	11
0.170510274495019	-20
5	-13.660807023851
8.80985861648632	-10
14.7198507977921	0
15	0.48802586662115
16.7667141779945	0
25	-3.72883475686274
29.9975070660685	-10
25	-13.5659660071567
15	-16.6727066032236
11.8126001847359	-20
12	3
30.5369533601076	-20
35	-14.076818602056
41.132526581003	-20
12	13
-15	5.71758463325043
-11.1227931489311	10
-5	16.0719040559876
-0.34096484690471	20
5	23.5303802981941
15	24.2634495607989
19.757738278934	20
15	17.5262271293221
7.94974885913717	10
5	8.09691691894963
-4.15454520193203	0
-5	-7.75448758461398
-15	-4.46086281695691
12	5
40.6516887256585	20
35	17.587451471363
28.5392429733748	20
35	24.0220940330903
40.6516887256585	20
13	2
-15	-19.9176053476527
-14.9412243209787	-20
13	4
-2.44730607875643	-20
-5	-14.683039877305
-10.5310317063588	-10
-15	-7.73082535186856
13	3
27.9628333934001	-20
25	-16.557137196493
16.0626246953612	-20
13	6
-15	9.90876654313701
-14.9173991886116	10
-5	19.8349715388787
-4.80426307997962	20
-5	20.9266546850737
-8.6922649287575	30
13	20
-2.35313976663602	30
5	26.4806225481771
15	28.6386392094174
24.6401713819839	20
15	14.9876195294248
10.3278090504978	10
5	6.56266897717006
-2.41989208957006	0
4.29260075600133	-10
5	-10.2246586970949
5.23380578853761	-10
12.8780805005057	0
15	3.69642888317981
24.7584732120937	10
25	13.9752299103107
25.0932845048186	10
26.2311752956844	0
34.1894705128675	-10
35	-10.6605469981264
44.6695407312528	-20
13	5
43.5352076532858	20
35	16.3565575414548
25.242933484762	20
35	26.0741858654764
43.5352076532858	20
14	3
25.3887134266926	-20
25	-19.5483083858293
23.8274474737451	-20
14	8
45	8.38137054132976
43.4400497389592	10
35	15.1256636115465
27.0116366771732	10
30.4599921275895	0
35	-5.70986176773892
36.801285895306	-10
45	-18.0197640004149
14	3
-15	14.4145399197904
-9.35830758926314	20
-15	28.2287267922126
14	3
3.81088893063344	30
5	29.4308647981601
7.18780708764078	30
14	4
17.9150598306264	30
25	23.5619944372066
35	28.1262776978625
45	21.1837280628182
14	5
-0.685238977208092	0
5	-7.78109283284903
11.0363102032193	0
5	5.02842103539049
-0.685238977208092	0
14	5
12.7058692418585	10
15	6.90483189973846
19.7915878846411	10
15	12.4490119295274
12.7058692418585	10
15	8
45	6.27830782433353
41.4132280863627	10
35	13.8947696816383
28.9299888495278	10
34.6888089594946	0
35	-0.391377696819166
39.0343398955982	-10
45	-15.8354499904566
15	3
-15	18.9273136934834
-13.9165142875125	20
-15	21.5803250624507
15	3
22.1468660136662	30
25	27.4073891894227
33.8580068702047	30
15	2
35.3159181452475	30
45	23.5896195997928
15	5
1.04941413515388	0
5	-5.40696274716751
9.19453990593294	0
5	3.49417309361092
1.04941413515388	0
16	8
45	4.17524510733731
39.3864064337662	10
35	12.66387575173
30.8483410218824	10
35	2.99752255541354
38.1816560538733	0
41.2673938958904	-10
45	-13.6511359804983
16	2
38.9504685343268	30
45	25.9955111367675
16	5
2.78406724751585	0
5	-3.03283266148598
7.35276960864655	0
5	1.95992515183135
2.78406724751585	0
17	4
45	2.07218239034108
41.6160424374551	0
43.5004478961826	-10
45	-11.46682197054
17	2
42.585018923406	30
45	28.4014026737422
17	5
4.51872035987782	0
5	-0.65870257580446
5.51099931136016	0
5	0.425677210051776
4.51872035987782	0
17	5
32.766693194237	10
35	6.23314905761176
37.3595847811697	10
35	11.4329818218218
32.766693194237	10
18	5
34.6850453665916	10
35	9.46877555980997
35.3327631285731	10
35	10.2020878919135
34.6850453665916	10
