Var1	Var2
14	3
24.7423841054988	-20
25	-19.7888852567988
25.7922865675184	-20
14	3
-15	-12.8022224368857
-14.3833231250935	-15
-15	-16.2728727904281
14	3
-15	-4.56517835016272
-13.2607913191638	-5
-15	-7.05580824100637
14	8
45	11.4393777289034
43.7526233649915	15
40	17.5929615510669
35	19.9613890678854
34.9424468127388	20
35	20.0400540664012
40	21.293527806364
45	21.5343145636236
14	5
16.8056789584098	-15
15	-15.2571479676327
14.4759175032212	-15
15	-14.6923852840542
16.8056789584098	-15
14	5
31.634894408596	-15
30	-16.4516258230519
29.5629611544981	-15
30	-14.4215449700229
31.634894408596	-15
14	5
10.2631494939454	-10
10	-10.4513368328355
9.81234754540395	-10
10	-9.65550392579453
10.2631494939454	-10
14	5
-4.63536624610303	-5
-5	-5.36579187584687
-6.63152334519944	-5
-5	-3.3794555362748
-4.63536624610303	-5
14	5
-9.42453404209884	5
-10	4.85919599768939
-10.3499941837178	5
-10	5.09149437025338
-9.42453404209884	5
14	5
26.6267677726127	5
25	3.92090432051784
23.4201063841664	5
25	6.6911052428912
26.6267677726127	5
14	5
17.2472591392368	10
15	8.9229640184768
12.4832078040298	10
15	10.8133433039475
17.2472591392368	10
15	26
8.87844091798119	-20
8.78236425679776	-15
7.5713874150423	-10
10	-5.5415051559813
11.1810435273983	-5
15	-3.15702132572633
17.5795972847447	-5
15	-7.28103953212613
13.405701108982	-10
15	-11.5793330705781
20	-13.4067887895375
22.7177805224605	-15
25	-16.9601542040308
26.8676804747244	-15
25	-12.13223379338
23.870010531197	-10
25	-9.58103698852443
28.4136474323582	-10
30	-10.8541305800624
35	-12.0036163673198
37.1401394009175	-10
40	-8.3632800756361
43.5285155307347	-10
40	-12.1592587992842
37.2982527535326	-15
38.5625926152683	-20
15	4
21.2905831113463	-20
20	-18.4409426086853
15	-17.8594781174396
11.2430174205406	-20
15	3
41.2859862216223	-20
44.697815812258	-15
45	-14.1565294322498
15	5
-15	-1.31242739544397
-10	-0.890213688250233
-9.1073184872356	0
-10	0.678594812605387
-15	2.11024727021793
15	20
-15	8.19232247818994
-10	7.80804692865308
-5	9.69772724447629
-3.19504610327633	5
0	1.43340489131974
2.984910841964	0
0	-2.46264691055969
-1.63160465521101	-5
-5	-8.37909378546562
-6.7533530710976	-10
-5	-14.6456371179879
0	-14.9702289540496
0.320079934043503	-15
0	-15.023946008812
-5	-15.1292584213122
-6.89447129504734	-15
-10	-14.6837172906704
-10.2762475265887	-15
-10	-15.5132742075528
-8.62248126805352	-20
15	12
45	8.08565630494951
41.2017323919073	10
40	12.1934936679571
38.4815660632304	15
35	17.2790834063012
30.9442206219079	20
35	22.8226144241373
40	23.5073519556267
44.2174346073401	25
40	27.3243699066488
35	27.3393765848976
30.7140306470164	30
15	4
-15	21.9709078611013
-13.7160658561357	20
-13.6845389063494	15
-15	12.6188437249223
15	6
3.00410561902345	30
1.128817838214	25
0	24.0456581605829
-1.61562762615314	25
-5	29.9440929195619
-5.16014388976084	30
15	3
12.9098543688298	30
10	27.9514491327143
6.50317998658666	30
15	39
11.6278683633568	0
10	-3.63906122295656
7.51394318353613	0
5	1.59835941555362
3.16973249788562	5
5	7.44159033479113
