Var1	Var2
7	5
-8.60367178813076	-15
-10	-16.362741401525
-12.3904135898638	-15
-10	-11.8372936176396
-8.60367178813076	-15
7.5	5
-0.602237535633735	-20
-1.44609352673816	-15
0	-13.3266869727044
0.66727977649091	-15
2.66518582205269	-20
7.5	9
-15	-12.2208624206671
-13.6022667904908	-10
-10	-8.66489722717752
-5	-8.26816033071089
-2.73740244871239	-10
-5	-12.0035517818769
-6.40617903977735	-15
-10	-18.5073763965619
-14.5510134915821	-20
7.5	5
13.217986771985	-10
10	-12.2938411119699
5.88743835771683	-10
10	-7.97069075688696
13.217986771985	-10
7.5	5
0.823289249974302	-5
0	-7.40898730718393
-1.86731440926493	-5
0	-2.80081866905547
0.823289249974302	-5
7.5	5
21.81702827834	0
20	-1.22857996137065
19.0393375517503	0
20	1.50276000740563
21.81702827834	0
7.5	5
-4.51333356606105	5
-5	4.11869929270023
-5.48216259193765	5
-5	5.94145711062729
-4.51333356606105	5
7.5	5
16.195356891291	10
15	8.15851877826259
14.4923980062432	10
15	11.4360462381514
16.195356891291	10
7.5	5
40.0917191827685	10
40	9.89976043204688
39.6763730920051	10
40	10.0794508930682
40.0917191827685	10
8	3
-3.25041807977076	-20
-5	-16.7638540516876
-8.42426676698159	-20
8	4
27.5875420854892	-20
30	-16.6926448141912
35	-19.4587722891516
35.0909590704794	-20
8	2
43.8908437819962	-20
45	-18.9752964143922
8	7
45	-6.90429605720061
40.5766756281637	-10
40	-10.6833944353804
39.5868331974394	-10
39.4192085129885	-5
40	-3.02050837999474
45	-3.53188297088566
8	19
-15	-1.40320505358989
-12.3656480492232	-5
-10	-6.5486077985261
-6.04169565926666	-5
-5	-2.89726136106039
-2.96639726246243	0
0	1.0196233196127
0.886973751633036	0
2.53389202022771	-5
5	-8.22236843061182
10	-5.83149602454971
15	-6.03047836867829
18.0699268315597	-10
15	-10.7571347513808
10	-14.7118919044736
5	-12.6760437570329
3.23001893876229	-15
5	-17.3154216654859
9.88766456620064	-20
8	3
45	14.1148664888335
44.3035559235331	15
45	18.3492190737756
8	3
-15	20.2563361350835
-13.6858696654019	20
-15	19.0251693952662
8	2
-14.6131114029474	30
-15	29.6455486997878
8	3
2.55314896593881	30
0	28.3825471885792
-2.75884556350181	30
8	5
15.3716621938169	30
16.5343566382728	25
15	22.5055655130123
11.9001069997571	25
13.4140141402517	30
8	3
26.5297189233459	30
25	28.8536595236171
24.2608480508599	30
8	5
22.3972444120664	-15
20	-17.5474915429124
18.705840830806	-15
20	-11.2157379223274
22.3972444120664	-15
8	29
25.5428941837779	0
25	-2.07908301905869
20	-4.08549158460868
16.8054351597961	0
15	2.83270402216264
14.0033676921598	5
12.2111378781466	10
12.9773698226994	15
15	16.6805684891745
18.0458496602397	20
20	21.1099050338474
21.5522674024672	20
21.0208853171603	15
23.7904195452849	10
25	8.05318783354533
25.9350017331573	10
28.9068104385905	15
30	16.1760879830293
33.9008373006344	20
35	20.7032589559821
39.5942446549761	20
36.8343914161338	15
40	12.299697010242
42.654801252056	10
40	7.09857717355259
35	8.66875297427013
30	7.2821284076354
26.5025329665513	5
25.5428941837779	0
8	5
-2.71586789914085	5
-5	0.863681783515407
-7.26299365905392	5
-5	9.41865774584247
-2.71586789914085	5
8	5
5.01278626209006	5
5	4.98232219499426
4.97901513035249	5
5	5.02535341356373
5.01278626209006	5
8	5
19.9936300069802	5
20	4.99724361212328
20.0268625479457	5
20	5.01348004219443
19.9936300069802	5
8	5
-3.49081935035959	15
-5	11.5282596026784
-7.37317751172071	15
-5	18.4318937912378
-3.49081935035959	15
8	5
6.7917152108536	20
5	19.0327477392899
3.21266345831093	20
5	21.4278593517585
6.7917152108536	20
8	5
-3.93204936061258	25
-5	21.4833522825643
-6.42418434016718	25
-5	27.0574350299012
-3.93204936061258	25
8.5	2
42.5026041291174	-20
45	-17.6927591785212
8.5	4
45	-10.10031697988
40.4584033019997	-15
40	-15.5259449785152
36.842487956707	-20
8.5	8
-15	1.3670294995948
-11.9214576627883	0
-10	-3.06732684476817
-8.16558344124671	0
-9.04382472617018	5
-10	7.08871392798726
-12.2341994573141	10
-15	13.3294012152637
8.5	3
45	1.87103897250804
42.2001226499269	0
45	-1.03804834896238
8.5	4
-15	22.234218411887
-10	24.7537642997939
-9.88587104943607	25
-6.29145346703127	30
8.5	2
-12.4988781235133	30
-15	27.7085757815982
8.5	13
17.1157311092512	30
18.2769169058598	25
20	23.0658838284397
24.2878186705227	20
23.7007861225054	15
25	13.2582306048662
26.2756059433138	15
30	19.006821185236
31.0131585009376	20
35	22.5508343686653
39.35576274513	25
35	29.6061886573931
31.4066187099604	30
8.5	7
29.8525828125351	30
30	29.1895261456881
30.7374245066504	25
30	23.0236483022777
28.5241261329773	25
25	26.363572413132
22.6552581068921	30
8.5	3
40.4688941807797	30
40.9475847921301	25
45	22.5926065290929
8.5	5
11.733358648161	-15
15	-18.4059545851621
17.3126824725724	-15
15	-12.3521798312547
11.733358648161	-15
8.5	15
24.9778706355618	-15
25	-15.8381429582461
25.0777104316873	-15
30	-13.6605111541212
35	-12.0115057546075
36.2753341702157	-10
38.1022107304501	-5
35	-1.43843190870876
32.5934773352864	0
30	3.04167181885488
27.7436700084309	0
28.2038644471754	-5
25.7310557081977	-10
25	-14.8368299801445
24.9778706355618	-15
8.5	17
4.24449479048112	-5
5	-5.98718959440747
7.09722294281111	-5
7.70707820758749	0
10	1.56046080870582
12.3916082129346	5
10	9.89852557266069
9.45156945371185	10
8.92884871395506	15
5	17.2405853654184
0.442899423829136	15
3.76327085884088	10
5	9.00665954510507
7.0206430554444	5
5	2.20633491877793
3.1786177050654	0
4.24449479048112	-5
8.5	5
-0.918402232220655	5
0	3.65398945600294
1.68371171934493	5
0	7.0113397614912
-0.918402232220655	5
8.5	5
33.3306055174165	5
35	3.70981133772329
37.8439561911287	5
35	5.91206109779782
33.3306055174165	5
8.5	5
39.4372216146261	15
40	14.5199431274158
40.7650814021532	15
40	15.9141627192862
39.4372216146261	15
8.5	7
-1.33624035593791	25
0	20.2743860637477
5	24.0734523468304
7.16053336964037	25
5	27.6691640097715
0	26.1495013527856
-1.33624035593791	25
9	3
41.1143644762387	-20
40	-18.0077840028026
38.5940168429346	-20
9	3
45	-12.4339924037328
42.6215253969704	-15
45	-16.4102219426502
9	3
-15	3.37118842009609
-11.8148512046261	5
-15	9.58503065581065
9	3
-15	24.2121006886906
-13.5412364827465	25
-15	25.7716028634085
9	3
-10.3846448440792	30
-10	29.2082804534685
-9.42915451157385	30
9	3
18.8598000246855	30
20	25.0840481881933
21.0496681629243	30
9	5
13.701181190442	-15
15	-16.3542098452952
15.9195241143387	-15
15	-13.9472249111286
13.701181190442	-15
9	9
28.6070378316593	-10
30	-11.1944296308274
32.2031214583584	-10
35	-8.43971043181643
36.7852129479117	-5
35	-2.95044307950036
31.5927953344771	-5
30	-7.83392142596316
28.6070378316593	-10
9	5
29.9444458330839	0
30	-0.191548745870478
30.0638552309795	0
30	0.074890439146728
29.9444458330839	0
9	5
9.02849984879873	5
10	3.87844494413092
10.7798487337095	5
10	6.59729714266008
9.02849984879873	5
9	5
4.08795768075322	15
5	13.7498235425602
5.78630616839626	15
5	15.4484229915469
4.08795768075322	15
9	5
33.9529806844199	25
35	24.3984097813486
36.0699089635716	25
35	26.131421250608
33.9529806844199	25
9.5	3
45	-14.7676678275855
44.784647491941	-15
45	-15.1276847067792
9.5	5
34.106378374751	-5
35	-5.90214704668878
35.4682151653733	-5
35	-4.46245425029197
34.106378374751	-5
