Var1	Var2
17.5	3
34.3576367882944	-20
35	-18.6502278779708
36.7986193615695	-20
17.5	5
-8.70204993412551	-15
-10	-15.5687051586254
-10.9168091983387	-15
-10	-13.7639975329451
-8.70204993412551	-15
17.5	5
15.1402166257712	-15
15	-15.3797962510301
14.5288508969296	-15
15	-14.779416642096
15.1402166257712	-15
17.5	5
25.1049348880827	0
25	-0.21315336485474
24.9169603798038	0
25	0.428538955575775
25.1049348880827	0
18	3
19.4909698586684	-20
20	-19.8663536876272
20.2813025041123	-20
18	3
33.4878930526435	-20
35	-16.8226701562669
39.2339050286798	-20
18	3
-15	5.50855988241035
-14.7047753234688	5
-15	4.54077745759367
18	3
45	9.57423468833806
44.5183021615464	10
45	11.5889229354178
18	3
5.96463212966884	30
5	29.2187705770005
3.95204879167075	30
18	3
25.8078273934964	30
25	29.3875694799252
24.4148022162008	30
18	5
-6.42000173683437	-15
-10	-16.5685992347945
-12.5287377565605	-15
-10	-11.5908652407644
-6.42000173683437	-15
18	5
15.8373411734868	-15
15	-17.268055138072
12.1864068138676	-15
15	-13.6827273389074
15.8373411734868	-15
18	9
3.58180795702951	-10
0	-10.3203294034678
-0.463190295574577	-10
-5	-5.95213805638642
-5.93744225932559	-5
-5	-4.07490842019917
0	-4.72051899500858
0.160214332617932	-5
3.58180795702951	-10
18	5
25.9976420933338	0
25	-2.02650208143626
24.2105216669509	0
25	4.07422648965756
25.9976420933338	0
18	7
16.7596852812957	5
15	4.52115443807816
14.627944794315	5
13.8619055402318	10
15	12.1546800523383
16.2307307500102	10
16.7596852812957	5
18	5
-9.70785946495148	10
-10	9.85732631576566
-10.2516693164141	10
-10	12.6806147051906
-9.70785946495148	10
18	5
0.515837884553529	10
0	9.6431078032278
-0.795101181235896	10
0	10.6952853613729
0.515837884553529	10
18	5
20.4989906189864	20
20	19.5367763642453
18.3793038533454	20
20	21.5456798709303
20.4989906189864	20
18	5
35.407052891564	25
35	23.0575148549586
34.4347017254771	25
35	25.9884853996894
35.407052891564	25
18.5	3
16.3869124286501	-20
20	-19.0513806728069
21.9966805477155	-20
18.5	8
32.6181493169926	-20
30	-16.0706479379696
28.1915644796725	-15
30	-11.3853453018604
35	-14.9961499872369
35.0029234641071	-15
40	-19.3480544841275
42.3715600732776	-20
18.5	3
45	-10.648940259328
43.558095199133	-10
45	-9.1767572100471
18.5	3
-15	-4.54201464544295
-13.6344136328003	-5
-15	-5.74118590912742
18.5	3
-15	6.78258676934121
-13.9651885243614	5
-15	3.39034879354438
18.5	5
45	8.64420199139219
43.4660916419499	10
44.9800918928715	15
41.8639471819082	20
45	21.0842179689404
18.5	9
-3.87342546377814	30
0	26.2190747272093
0.806606724218567	25
0.0861433146037351	20
0	19.9290802943229
-0.0217234434985478	20
-5	24.8339856026905
-5.32103559521636	25
-6.10158252538195	30
18.5	3
7.27881940687468	30
5	28.1544459119729
2.52434998011283	30
18.5	3
26.8534588500186	30
25	28.5948548209772
23.6573369260241	30
18.5	3
40.4200876896356	30
40	29.4499800975546
38.1764693581848	30
18.5	25
-4.05473000280314	-15
-5	-15.4311338879929
-10	-17.5684933109635
-14.1406663147822	-15
-10.6781914365327	-10
-10	-8.73471014677654
-8.20593004856933	-5
-5	-1.8363076617694
0	-2.97900334953689
1.1585496824264	-5
5	-9.02761917041096
9.04624062117599	-10
10	-13.8337554264208
15	-12.5860380357188
16.5344657212025	-15
15	-19.1563140251139
10	-15.1043773439427
7.70287801726936	-15
5	-14.6109667453463
0	-12.106216777696
-3.04554986599375	-10
-5	-8.25618775448808
-8.69270681422922	-10
-5	-13.3353079166438
-4.05473000280314	-15
18.5	5
28.2436022388198	-10
25	-11.4312405164442
23.5217164291988	-10
25	-7.62138809711227
28.2436022388198	-10
18.5	15
26.890349298585	0
25	-3.83985079801777
23.5040829540981	0
20	4.77326792138306
15	3.36761170589064
13.7316608718578	5
12.2796232134912	10
14.9527260551738	15
15	18.1062861903543
15.0644787979884	15
17.9418044645013	10
20	5.81896120811551
25	8.64657921983464
27.0347300554892	5
26.890349298585	0
18.5	5
35.8280358691227	0
35	-2.08812206165721
33.9417084369601	0
35	2.49751590550577
35.8280358691227	0
18.5	7
-8.14436810019764	10
-10	9.09375862653363
-11.5985649223993	10
-11.0692657165066	15
-10	16.6790916757252
-8.24260505566343	15
-8.14436810019764	10
18.5	5
1.42181740962415	10
0	9.01628873348666
-2.19155811495387	10
0	11.9164331683635
1.42181740962415	10
18.5	5
30.6297839820651	15
30	13.3033547325293
29.0142189855233	15
30	16.0812013109231
30.6297839820651	15
18.5	5
21.5085506288409	20
20	18.5995802718073
15.1003042979806	20
20	24.6729061680857
21.5085506288409	20
18.5	7
36.4527831460405	20
35	19.6346149623333
34.3442781871026	20
33.2612499351812	25
35	28.0403932405999
36.2520173393222	25
36.4527831460405	20
19	9
13.966978530222	-20
10	-16.6712984582805
5	-16.294983777579
2.01157164613027	-15
0	-13.8921041519242
-1.55236871253868	-15
-5	-16.5724509248543
-10	-18.5683873871326
-15	-16.8259388069596
19	29
31.7484055813417	-20
30	-17.375970487351
25.9867391770969	-15
25	-13.8966430669069
20.9752792344115	-10
24.7243729107402	-5
22.7976442412453	0
20	3.81095587265147
15	2.21406897370312
12.8353769494007	5
10.6973408867505	10
14.0105836763639	15
13.4838795960466	20
11.9179104517961	25
15	27.5368062507756
20	25.9477600243603
21.0105528256756	25
22.5181106386954	20
20	17.6623841793693
16.3495039496425	15
19.6528781789925	10
20	9.29485329546681
21.0954367034748	10
25	12.374861812392
26.783235168535	15
30	18.5281368799311
31.6316691298124	20
32.0877981448854	25
34.8905100272868	30
19	3
-15	-13.0121234944777
-13.2093319285542	-10
-15	-8.23543261975708
19	3
45	-11.3365486345341
42.0302722553806	-10
45	-8.30446021650598
19	14
-15	-3.0007974554598
-10	-4.52046324932335
-5.41769944155917	0
-5	0.568678766161982
-3.9907348166876	0
0	-1.23748770406521
2.15688503223487	-5
5	-7.98090132663385
10	-6.90169742616968
11.8256222869618	-10
15	-11.4893487325302
17.2315902689182	-15
20	-18.2364076579867
23.7120585913188	-20
19	3
45	-0.374669253119952
44.6182339814891	0
45	0.475720755092315
19	3
-15	8.05661365627207
-13.2256017252541	5
-15	2.23992012949509
19	17
45	7.71416929444631
42.4138811223533	10
43.8233122994327	15
40	19.4484753313149
35	18.1230795168471
32.0550882347866	15
30.9407779892623	10
30	6.92232792008738
29.7620184674665	5
27.7830565038361	0
26.3720647729883	-5
30	-7.90720783573515
31.0861991950447	-10
35	-13.5565538029263
36.0960647164928	-15
40	-18.3968908007057
45	-19.7841845805279
19	3
-15	20.2951133566188
-13.6033324904467	20
-15	19.4542611163009
19	3
-1.68272885876656	30
0	28.3574559188344
1.09665116855491	30
19	9
8.59300668408052	30
5	27.0901212469452
2.22147704316599	25
2.45716439382114	20
0	17.9770760341466
-0.619642651566879	20
-5	24.2533965553425
-6.44376804139119	25
-8.24368055875973	30
19	3
27.8990903065408	30
25	27.8021401620291
22.8998716358474	30
19	5
41.1863200367322	30
40	28.446753744585
37.0969817870804	25
40	20.5328030331074
45	22.1760289652633
19	9
36.7134077903965	0
35	-4.32083287833042
32.8101371254066	0
32.9055810924873	5
35	5.47243761106021
40	5.62640460474992
40.5059721581673	5
