Var1	Var2
22	3
45	17.6195825507891
43.0492615840841	20
45	22.5695885211811
24	6
-15	11.4492692958574
-13.6344463294477	10
-13.7384840992865	5
-13.9246730998789	0
-13.2735053334558	-5
-15	-7.33700172278363
24	9
45	13.3208604132192
40	13.739457902874
38.0439210012816	15
35	19.9219444482469
34.8972451609436	20
35	20.1209430887854
40	20.8664571705705
43.7655082629804	25
43.6903748650648	30
24	3
-15	22.1459581925219
-13.3479948791618	20
-15	18.1222682352633
24	3
35.9514216044424	30
35	28.0129945874429
33.8432454206457	30
24	9
17.6343311821518	-15
15	-15.3988405927279
10	-17.5367425483817
9.19415235204174	-15
8.91155181615483	-10
10	-8.65047229339052
11.0578749473233	-10
15	-14.6232338692474
17.6343311821518	-15
24	13
35.2106676880494	-15
35	-15.403449297809
30	-15.4571131645166
29.6336299809581	-15
29.3600591927164	-10
25	-6.27681461993483
24.3604718960106	-5
25	-4.15604339089071
30	-4.60660782848622
30.4609155529681	-5
30.3409659397239	-10
35	-14.3892027479287
35.2106676880494	-15
24	7
-2.78076722902712	-10
-5	-10.2680266747421
-8.16660537262623	-10
-5.48909120786897	-5
-5	-4.39555885783654
-4.61009938524252	-5
-2.78076722902712	-10
24	5
10.3526264652114	0
10	-0.318261177011622
9.6850040134258	0
10	0.735996862349005
10.3526264652114	0
24	5
6.52233900414034	5
5	4.27162668428348
4.29224498110584	5
5	5.54835436430549
6.52233900414034	5
24	5
20.3625402385756	5
20	4.19015075309409
17.9132912690099	5
20	5.26661012645789
20.3625402385756	5
24	5
36.5284463973227	5
35	1.52318439638352
31.0920849506887	5
35	8.31024492938882
36.5284463973227	5
24	5
-4.755369984663	15
-5	14.7314416918073
-5.32099474324542	15
-5	15.3969475931536
-4.755369984663	15
24	7
5.16160239316306	15
5	14.8140587574336
4.82345387186863	15
4.57806469500148	20
5	20.1955545262164
5.19587937026507	20
5.16160239316306	15
24	5
15.1579985810978	25
15	24.6781544730014
14.2334940263551	25
15	26.3683520339239
15.1579985810978	25
24	5
25.0256009310217	25
25	24.9955659428139
24.9962537087522	25
25	25.0032648285784
25.0256009310217	25
26	2
-15	-17.2054268317594
-13.8607514960548	-20
26	3
-5.23994340309903	-20
-5	-19.8544698893275
-4.83914007670765	-20
26	10
4.04261737521978	-20
5	-16.6765199667219
6.20892036596067	-15
5.86201216718737	-10
5	-7.77249424650615
3.50426642919984	-10
0	-10.5238561453217
-5	-11.2623885911679
-10	-12.4414189894721
-15	-11.995974150102
26	3
19.1758352933788	-20
15	-19.0784678007845
13.7329886529202	-20
26	3
27.3039943091338	-20
25	-16.0848807168165
20.9008499595484	-20
26	2
43.7996841244919	-20
45	-19.186875004175
26	4
45	-9.82753840466642
43.459079588203	-5
43.6044221163675	0
45	2.60830194477352
26	18
45	10.4550230830405
40	11.2575927432798
37.6345679357762	10
38.3194314911034	5
36.2758697644019	0
35	-2.17166913969141
33.2459808150648	0
30	3.01711757670844
25	1.34929863639268
24.2294487340972	0
25	-0.49599063206443
30	-2.47263487087573
32.961172032377	-5
33.7959336423535	-10
35	-11.1343319875531
36.3332924144418	-15
35	-17.5533858246669
30.9391504126552	-20
26	3
-11.2554615658863	30
-10	27.9228264193543
-8.57375947736281	30
26	39
6.41334807619687	30
5	28.7089980212642
0.589936924877915	25
0	23.0372218828236
-1.55992837375058	25
-5	27.3900860448639
-8.09940747995394	25
-10	20.3767787303107
-10.1134786498895	20
-11.5742233814991	15
-10	12.6390468014269
-9.69688118285548	15
-9.04894489110432	20
-5	20.8771697970942
-3.83667564469579	20
-1.42050799903746	15
0	12.6940018283621
1.44084578698942	15
1.51089218822504	20
5	21.6170982066833
6.61978443818498	20
8.25788984752419	15
10	12.7661266801042
12.3464547249389	15
15	17.0066992031251
18.541297422579	15
20	11.5788041095367
25	12.6404603577389
26.0668050804238	10
30	7.98348943637383
32.3849263310051	10
33.9402246209905	15
30	18.2969106459316
29.2995692584447	20
25	23.556558149935
23.7804501965726	25
25	26.0628167399655
30	28.9403546981891
30.3743400528941	30
26	7
18.3961657554727	30
16.336265873803	25
15	22.2780059708366
10	24.507489540139
9.50857809890831	25
10	25.5492135710965
13.8272455935176	30
26	5
38.804569168801	30
36.6941201847425	25
40	22.970393239669
41.8488984732939	25
41.0896634475996	30
26	9
14.0217565940502	-10
15	-11.1472614354748
17.3735321521949	-10
20	-8.05196178887551
21.5869802542737	-5
20	-2.82603133606819
17.0765250288871	-5
15	-7.75924639548044
14.0217565940502	-10
26	5
44.8275376898675	-10
40	-10.451911924638
37.5890143206307	-10
40	-8.45908416440591
44.8275376898675	-10
26	7
-10.2658583761046	-5
-10	-5.47404827047967
-9.63364565990609	-5
-5.83152219319651	0
-10	2.34362571133502
-11.6309052193317	0
-10.2658583761046	-5
26	5
-1.30608511807535	-5
0	-6.86894972670868
2.64547006793457	-5
0	-2.98770086310144
-1.30608511807535	-5
26	5
-0.152822646409199	5
0	4.92077704602329
0.0401782992363414	5
0	5.09317245333678
-0.152822646409199	5
26	5
-8.95308711093512	10
-5	7.53096896260867
-3.1495531851458	10
-5	11.0703827997419
-8.95308711093512	10
26	5
2.93102293403613	10
5	8.8427701721428
6.67594957136453	10
5	11.2514411170758
2.93102293403613	10
28	3
-7.36929855152623	-20
-5	-18.5629766187921
-3.41160382684957	-20
28	7
2.85005366432206	-20
4.4337007696668	-15
0	-11.3148808630661
-5	-12.2567505075937
-9.79897929801073	-15
-10	-15.4276862568369
-12.1336898724022	-20
28	2
42.0849227817518	-20
45	-18.0252513531786
28	5
45	-11.3755616294614
40	-11.8443862390125
37.4559171408342	-15
35	-19.7033223515248
34.5075793647681	-20
28	3
8.1196255000049	30
10	27.6665855835377
12.0065105764816	30
28	11
21.0197509474812	30
20	28.759787860432
17.5145331665082	25
20	21.4690931925639
21.8680040988379	20
25	16.8647857966963
27.5599340808116	20
25	22.117550357056
22.5646466843931	25
25	27.1223686513525
28.7637312544765	30
28	5
29.2244799316088	0
30	-0.338661913265232
30.4445824517806	0
30	0.41323643175523
29.2244799316088	0
28	5
38.3136008795785	0
40	-3.7649942716311
41.6321916533871	0
40	4.65334750120734
38.3136008795785	0
28	5
8.04368950610489	20
10	16.207322772189
14.8214143692248	20
10	22.6087238897159
8.04368950610489	20
28	5
2.44310845568782	25
5	23.0386418871502
7.6140091471709	25
5	27.1504240453927
2.44310845568782	25
30	3
-9.49865369995343	-20
-10	-19.1286306627015
-10.4066282487495	-20
30	7
1.65748995342434	-20
3.48199018187636	-15
0	-12.1059055808106
-5	-13.2511124240195
-8.05946480439029	-15
-5	-17.2714833482567
-1.98406757699149	-20
30	2
40.3701614390116	-20
45	-16.8636277021823
30	4
45	-12.7672586626261
40	-13.2368605533869
38.5785418672265	-15
38.9986416478417	-20
30	3
9.82590292381292	30
10	29.7839575959789
10.1857755594456	30
30	3
22.4852897814861	30
25	28.1819205627396
27.377914879317	30
30	5
9.4675945740248	20
10	18.9678315679641
11.3121368918996	20
10	20.7099582392928
9.4675945740248	20
30	5
23.9963910314175	20
25	18.9953597666921
25.8202989031784	20
25	20.6785425641771
23.9963910314175	20
30	5
4.29627998649772	25
5	24.4601855676171
5.71944019543348	25
5	25.5918500695212
4.29627998649772	25
30	5
18.6928004592134	25
20	23.1429646555547
21.3488431722135	25
20	26.9774124113767
18.6928004592134	25
32	7
0.464926242526618	-20
2.53027959408592	-15
0	-12.8969302985551
-5	-14.2454743404453
-6.31995031076984	-15
-5	-15.9799900777213
-0.556531327133412	-20
32	5
45	-14.1589556957908
40	-14.6293348677613
39.7011665936189	-15
40	-16.2671884710942
45	-15.702004051186
32	3
23.9508286154911	30
25	29.2414724741267
25.9920985041576	30
32	5
19.8710677519186	25
20	24.8168361185455
20.1330396600339	25
20	25.1950369623214
19.8710677519186	25
34	5
-4.36522690932992	-15
0	-18.6553624393307
1.57856900629548	-15
0	-13.6879550162996
-4.36522690932992	-15
36	5
-1.73345557013045	-15
0	-16.4515644920452
0.626858418505039	-15
0	-14.478979734044
-1.73345557013045	-15
