Var1	Var2
20	2
-15	-19.4556876221315
-14.1596796387878	-20
20	5
-7.52234497914123	-10
-10	-12.4846613469355
-11.2611708819367	-10
-10	-8.69507780617058
-7.52234497914123	-10
20	5
0.189396359293371	-5
0	-5.81466709368832
-0.290273093032544	-5
0	-4.8635499688835
0.189396359293371	-5
20	5
30.7646266628369	15
30	14.5975352375974
29.7330288109208	15
30	15.2549814124852
30.7646266628369	15
20	5
15.1427004486205	20
15	19.5293851851378
14.6972107285151	20
15	21.1194964947127
15.1427004486205	20
22	14
-15	-15.6992335364355
-10.2951803215776	-15
-12.5529997065399	-10
-10	-7.35843411418774
-5	-9.89504192921102
-3.95381104445517	-5
0	-3.14141354126759
2.57976862178463	-5
4.35521694332047	-10
0	-11.7997485503015
-5	-10.0210611062141
-9.9599830213128	-15
-5	-19.4416884395753
-0.235524925681261	-20
22	9
9.58865463125984	-20
10	-19.6928040731891
12.7926937577591	-15
13.8059576969349	-10
15	-8.99960330741476
17.4197850859333	-10
16.7570338233825	-15
20	-19.7314705774349
20.3423487842423	-20
22	3
31.7901617624785	-20
35	-19.0645791696225
36.8172379754646	-20
22	11
18.0743690651817	30
16.7012900728498	25
16.3646850697486	20
15	15.4993763673944
11.1067025548417	15
10	14.5045329876559
9.86766703411561	15
10	15.2079787903006
12.1043398807083	20
13.6745702641323	25
14.2725050912347	30
22	3
45	29.4336900991441
40	28.3318889708547
38.7301088573619	30
22	7
26.9044866155421	-15
25	-16.0479627204107
24.1502470866372	-15
24.002926246161	-10
25	-9.89043824324177
25.3346373559647	-10
26.9044866155421	-15
22	7
12.5321922120625	-5
10	-7.81375022951634
8.44691241836345	-5
9.80194058293493	0
10	0.550336158826467
10.1046426649797	0
12.5321922120625	-5
22	5
31.8426118628894	-5
30	-7.85782089232649
28.5293814924153	-5
30	-2.28628957659296
31.8426118628894	-5
22	5
27.7739518135669	0
25	-1.52163054358536
22.7867534100375	0
25	1.12410875947147
27.7739518135669	0
22	5
35.4084839403928	0
35	-0.585499675302954
33.937763710556	0
35	0.30981925654164
35.4084839403928	0
22	5
6.55441407415787	5
5	4.34613941681279
4.49737901317655	5
5	6.19827981398108
6.55441407415787	5
22	5
17.747960019751	5
15	3.63331734625123
11.5741038751089	5
15	7.41716585808134
17.747960019751	5
22	5
2.23513174685472	10
0	8.88610101998244
-1.47185815361366	10
0	13.1683435966521
2.23513174685472	10
22	5
26.6217753575169	10
25	8.9140119419412
22.9960370471624	10
25	10.955450929747
26.6217753575169	10
22	5
34.8285448478291	15
30	12.4584732008668
28.3141022642807	15
30	16.6101834338075
34.8285448478291	15
22	5
5.94685196201065	20
5	19.3617417564676
4.1355050178968	20
5	20.7414539884882
5.94685196201065	20
22	5
44.5174814699485	20
40	18.3100742515944
38.0761735899372	20
40	22.3413471490748
44.5174814699485	20
22	5
30.927005298633	25
30	23.9946879117979
28.9946036110079	25
30	27.880903457541
30.927005298633	25
24	3
26.8297885513092	-20
25	-18.931977578109
23.7412882065996	-20
24	3
-15	-12.6176120515712
-13.844828531143	-10
-15	-7.59308651728527
24	3
45	-0.52982710242126
43.7242478848325	0
45	1.22699451804867
24	23
-15	0.762683157227794
-10	1.96681087510354
-6.8648099837196	0
-5	-1.53235369120775
0	-1.41927711365167
4.97014088427589	-5
5	-5.06754250395111
5.04252558565978	-5
6.00674175943407	0
5	0.911181629105794
1.85693559550093	5
0	6.60454328856331
-4.73206460398463	5
-5	4.43998948919454
-5.23194719338008	5
-5	5.94758430669693
-4.48661030813723	10
-5	11.4953768131775
-6.43919383100402	10
-10	8.30093443722544
-14.4361560458823	10
-11.079823132982	15
-15	19.3630221951112
24	22
45	18.315870140799
40	16.6127291149088
37.5100400071806	15
35	13.1030963365051
30	10.3194111641362
29.5610923619632	10
25	6.94575958757989
21.0008181418489	5
25	3.07319122845216
30	1.19273798218506
35	2.79137000050116
38.3344137941237	5
40	8.19277709686384
42.5566671341745	5
40	2.37845010428078
38.6803064781279	0
35.2204255826047	-5
35	-5.10364245073054
30.8752906749744	-10
30.9297257308115	-15
35	-17.608923585143
39.6451337432397	-20
24	5
-15	21.5717685327794
-10	22.6785001621106
-9.43603067224436	25
-5	26.3924459301837
-2.11286786858421	30
24	2
-14.317847899725	30
-15	28.2440431502125
24	17
23.0757750854048	30
20	25.7223192344989
19.5595706666217	25
17.5866696908767	20
16.7972602316238	15
20	10.5042322926276
25	12.6871168794747
26.8951757176407	15
25	18.0343319571452
23.4767794983348	20
25	21.8282442919146
26.8280414922443	20
30	17.9653854551298
35	18.0900936396702
36.1439008826728	20
40	24.6929736631535
45	22.48316049234
24	5
32.2382054080925	30
32.3996297600916	25
30	22.3976666491692
27.3974484296135	25
27.5765499346349	30
24	3
45	27.1072415274656
40	25.3847729368447
36.4865432418084	30
24	7
-6.53344375787173	-15
-5	-16.3732061950234
0	-15.2599587355792
0.490333155720958	-15
0	-14.8350327483189
-5	-13.4606957857126
-6.53344375787173	-15
24	5
8.48867852253343	-15
10	-15.8353180097192
10.4970988251596	-15
10	-13.7440590250569
8.48867852253343	-15
24	5
18.5843461664437	-15
20	-17.0654314897267
21.8117096751628	-15
20	-12.6610707481692
18.5843461664437	-15
24	5
-12.2121585051865	-5
-10	-6.02179042220489
-7.41545475012609	-5
-10	-2.04898753520533
-12.2121585051865	-5
24	11
16.6052067644484	-5
20	-7.85647762509313
25	-6.18104248869817
25.85234682334	-5
25	-4.15997260059612
20	-0.945231154284418
19.2017976867373	0
15	2.14509863183627
12.1097971024919	0
15	-3.60926972302771
16.6052067644484	-5
24	5
3.54129945417574	15
5	12.8629345590844
6.11074027231217	15
5	15.9952944998865
3.54129945417574	15
24	5
-7.97095802201259	20
-5	18.9545802638531
-2.3429641509856	20
-5	20.88402102647
-7.97095802201259	20
24	7
3.42559208333703	25
5	24.6521997888291
10	21.1234288717349
11.4477600611591	25
10	28.9162610269427
5	26.1820309655458
3.42559208333703	25
26	3
45	-10.6180005792496
42.6080516531144	-10
45	-7.35435004193883
26	11
45	-4.36445394234424
40	-3.43337268587476
38.9772223577404	-5
35	-6.87006003289476
32.3633272408761	-10
33.2007456656413	-15
35	-16.1532680006635
37.6263411898246	-15
40	-11.1047147813287
41.757906025329	-15
45	-18.4349199653146
26	3
-15	3.55184296881813
-11.2947912841333	5
-15	6.77125029659151
26	3
-15	11.5745784505476
-12.3613651912064	15
-15	17.9367099052133
26	3
45	16.4313297556834
40.3079703718599	15
45	11.979271901686
26	4
-13.024060906411	30
-10	26.4314058951146
-5	29.2270425802022
-4.38140076081298	30
26	5
19.4954001689368	-5
20	-5.42458495320512
21.01956729769	-5
20	-4.39730182883557
19.4954001689368	-5
26	5
14.1149515400041	0
15	-1.10524372279525
16.2866897943627	0
15	0.656879917421319
14.1149515400041	0
26	9
25.0786907724118	5
30	3.4131145410213
34.3331899094249	5
35	5.81245436898981
37.1550057807357	10
35	11.122637889436
33.0005511302929	10
30	7.28282284918341
25.0786907724118	5
26	9
18.8487268408165	15
20	13.3839284282389
25	14.4187828292023
25.4762491710006	15
25	15.7625140326989
21.7163196632441	20
20	22.6771379647605
18.8086543120048	20
18.8487268408165	15
26	5
28.9407977349926	20
30	19.3205874764521
32.7565994184175	20
30	20.8006453865406
28.9407977349926	20
26	5
23.1400160784188	25
25	23.9412349200811
25.8002932482192	25
25	27.6934115086289
23.1400160784188	25
26	5
33.8722542215501	25
35	21.7379416739231
37.3415620817599	25
35	28.470760796181
33.8722542215501	25
28	3
45	-13.9362086221299
44.2129365421256	-15
45	-15.8338746521673
28	3
-15	13.2382500462309
-13.6429072494307	15
-15	16.5103976153153
28	3
-11.730273913097	30
-10	27.9581610697639
-6.76131761894164	30
28	5
33.8513638067779	-10
35	-13.9397561291292
37.4601390375785	-10
35	-8.63647761505898
33.8513638067779	-10
30	3
-15	14.9019216419143
-14.9244493076551	15
-15	15.0840853254174
30	3
-10.436486919783	30
-10	29.4849162444133
-9.18299496630954	30
