Var1	Var2
22	2
-15	-17.8693660399997
-13.2923237462998	-20
22	3
-5.60199711566451	-20
-5	-19.6853663104269
-4.25328313003356	-20
22	3
41.5435820274699	30
40	29.4867900516577
39.8015377688145	30
22	7
-9.79529899155278	-15
-10	-15.4002367795913
-10.5538424650923	-15
-11.172733394982	-10
-10	-8.81308466958055
-8.42387929243999	-10
-9.79529899155278	-15
22	5
15.5765442349271	-15
15	-16.6403835012003
14.5935472895983	-15
15	-13.8096204656307
15.5765442349271	-15
22	5
2.28437038533509	-5
0	-9.2070917072208
-2.50825262656232	-5
0	-4.29401678795371
2.28437038533509	-5
22	5
1.47160694035377	10
0	9.43990071253925
-0.81504145863266	10
0	11.1747809048107
1.47160694035377	10
22	5
31.8470452854932	15
30	13.9985500942103
29.0411779825759	15
30	15.7553429908014
31.8470452854932	15
22	7
15.3721806118775	20
15	17.6939470269179
14.2734111932247	20
13.4040655117492	25
15	28.5732304627707
16.2490153716037	25
15.3721806118775	20
22	5
41.2908405788222	20
40	19.3575229285068
39.3054976537002	20
40	21.5130937547427
41.2908405788222	20
24	8
-15	-15.2682883499146
-14.5842802027096	-15
-12.4971886413903	-10
-10	-7.47261270626563
-6.64384868272694	-10
-8.30564313925808	-15
-10	-18.3128509652488
-11.2075927747786	-20
24	3
-8.38685472151757	-20
-5	-18.2298609588801
-0.798947385501969	-20
24	20
13.2436947201616	-20
13.1431616965164	-15
10	-10.6630624658464
6.67712216991169	-10
5	-7.02282660140322
4.18561255079634	-10
0	-12.6046962206431
-2.41023328402397	-10
-5	-6.09610054609754
-5.6162209172478	-5
-5	-4.4654572608953
0	-3.3471714853784
5	-4.5939581174745
10	-0.450663062084779
15	-4.94266213470271
15.055689235472	-5
15.9800092574174	-10
17.6338843158588	-15
20	-18.4577939166796
21.3297746971033	-20
24	4
29.8982933768457	-20
30	-19.6719144936264
35	-19.0854869547859
36.2262226621005	-20
24	3
-15	-4.94153603233354
-14.957229016497	-5
-15	-5.04175855455238
24	3
-15	20.5953821557589
-10.1492426577281	20
-15	19.7445720754181
24	12
21.7898890082446	30
20	28.3584619221441
17.8127836643804	25
16.4260948499008	20
16.0207554214889	15
15	13.398887814333
10	14.0600741346209
7.68039961879218	15
10	16.3385096179554
12.2159093669322	20
11.405954193975	25
12.7677298464659	30
24	5
30.843727580078	30
30.7637473254558	25
30	24.2615880181323
27.7658476728474	25
28.6164816286653	30
24	3
45	28.9681811138731
40	25.7362725072268
38.3511838106103	30
24	7
28.4092824742455	-15
25	-16.9394584566652
22.8088596177301	-15
23.0194838478214	-10
25	-9.20843415024221
26.0907328293824	-10
28.4092824742455	-15
24	5
31.5216930252099	-5
30	-6.987025163044
28.4612101535823	-5
30	-2.63104518559833
31.5216930252099	-5
24	5
26.3431795797145	0
25	-0.767607569557953
22.6889251564432	0
25	0.53027049154718
26.3431795797145	0
24	5
35.8600010017614	0
35	-1.16092415315939
33.081916932908	0
35	0.761707860770067
35.8600010017614	0
24	7
16.649035755844	5
15	3.84629159155014
10	2.98007113903197
9.09349274646677	5
10	5.16989928566417
15	6.91733544084946
16.649035755844	5
24	5
4.52351283182175	10
0	8.27833353836055
-2.5053228518379	10
0	13.6111113312723
4.52351283182175	10
24	5
26.1841273346548	10
25	8.94046356122797
22.9570927509676	10
25	11.1127594823599
26.1841273346548	10
24	5
-8.45084090829598	15
-10	12.2602440167911
-10.7493462043843	15
-10	19.9534589112982
-8.45084090829598	15
24	5
34.3432390488818	15
30	12.6451382267202
27.745375676649	15
30	16.776153080119
34.3432390488818	15
24	5
6.66280938643956	20
5	17.2940654619426
3.14827281074577	20
5	21.8054011412482
6.66280938643956	20
24	5
43.7774209105824	20
40	18.1199023611093
37.9676594240977	20
40	24.427806254783
43.7774209105824	20
26	3
26.4384460121295	-20
25	-19.1012331358556
23.9221917626403	-20
26	3
-15	-12.4899753835608
-13.8216438877986	-10
